Initializing Run-To-Failure Evaluation Pipeline (AI Model Mode)...

✅ AI Model & Label Encoder loaded successfully.
✅ RTF Scaler loaded successfully.
⚠️  No 'vibrasi*' prefix files found. Processing all CSV files.
Found 129 files. Chronological order established.
Evaluating timeline using Random Forest Model & Baseline Normalization...

FILE (Waktu)    | ML DIAGNOSIS         | CONFIDENCE | DEVIATION
---------------------------------------------------------------------------
LogFile_2022-06-20-17-00-31.csv | HEALTHY              |     63.5% |  55.47 %
LogFile_2022-06-20-18-00-31.csv | HEALTHY              |     81.5% |  56.97 %
LogFile_2022-06-20-19-00-31.csv | HEALTHY              |     74.0% |  56.15 %
LogFile_2022-06-20-20-00-31.csv | HEALTHY              |     70.5% |  40.47 %
LogFile_2022-06-20-21-00-31.csv | HEALTHY              |     81.0% |  49.42 %
LogFile_2022-06-20-22-00-31.csv | HEALTHY              |     68.5% |  50.42 %
LogFile_2022-06-20-23-00-31.csv | HEALTHY              |     84.0% |  51.30 %
LogFile_2022-06-21-00-00-31.csv | HEALTHY              |     54.0% |  41.19 %
LogFile_2022-06-21-01-00-31.csv | HEALTHY              |     69.0% |  36.52 %
LogFile_2022-06-21-02-00-31.csv | HEALTHY              |     76.0% |  53.63 %
LogFile_2022-06-21-03-00-31.csv | HEALTHY              |     76.5% |  61.77 %
LogFile_2022-06-21-04-00-31.csv | HEALTHY              |     72.5% |  60.51 %
LogFile_2022-06-21-05-00-31.csv | HEALTHY              |     73.5% |  79.76 %
LogFile_2022-06-21-06-00-31.csv | HEALTHY              |     74.5% |  64.81 %
LogFile_2022-06-21-07-00-31.csv | HEALTHY              |     80.5% |  80.59 %
LogFile_2022-06-21-08-00-31.csv | HEALTHY              |     75.0% |  76.87 %
LogFile_2022-06-21-09-00-31.csv | HEALTHY              |     82.5% |  91.26 %
LogFile_2022-06-21-10-00-31.csv | HEALTHY              |     76.0% |  79.17 %
LogFile_2022-06-21-11-00-31.csv | HEALTHY              |     78.5% |  82.23 %
LogFile_2022-06-21-12-00-31.csv | HEALTHY              |     68.5% |  70.29 %
